pid;model;price;country_code;country;region;income group;scraped_date
7;Apple TV 4K;From ₹18900.00‡;in;India;South Asia;Lower middle income;2022-01-02 21:52:21.513688
8;Apple TV HD;From ₹15900.00‡;in;India;South Asia;Lower middle income;2022-01-02 21:52:21.513688
9;Apple Watch SE;From ₹29900.00‡;in;India;South Asia;Lower middle income;2022-01-02 21:52:21.513688
10;Apple Watch Series 3;From ₹20900.00‡;in;India;South Asia;Lower middle income;2022-01-02 21:52:21.513688
11;Sport Band;₹3900.00‡;in;India;South Asia;Lower middle income;2022-01-02 21:52:21.513688
12;iPad;From ₹30900.00‡;in;India;South Asia;Lower middle income;2022-01-02 21:52:21.513688
13;iPad Pro;From ₹71900.00‡;in;India;South Asia;Lower middle income;2022-01-02 21:52:21.513688
14;Apple Pencil (2nd generation);₹10900.00‡;in;India;South Asia;Lower middle income;2022-01-02 21:52:21.513688
15;24-inch iMac²;From ₹119900.00‡;in;India;South Asia;Lower middle income;2022-01-02 21:52:21.513688
16;MacBook Air;From ₹92900.00‡;in;India;South Asia;Lower middle income;2022-01-02 21:52:21.513688
17;Magic Mouse;₹7500.00‡;in;India;South Asia;Lower middle income;2022-01-02 21:52:21.513688
0;iPhone 13;From €829;ie;Ireland;Europe & Central Asia;High income;2022-01-02 21:52:22.791120
1;iPhone SE;From €499;ie;Ireland;Europe & Central Asia;High income;2022-01-02 21:52:22.791120
2;iPhone 12;From €709;ie;Ireland;Europe & Central Asia;High income;2022-01-02 21:52:22.791120
3;AirPods(3rd generation);199,00 €;ie;Ireland;Europe & Central Asia;High income;2022-01-02 21:52:22.791120
4;AirPods Pro;279,00 €;ie;Ireland;Europe & Central Asia;High income;2022-01-02 21:52:22.791120
5;AirPods(2nd generation);149,00 €;ie;Ireland;Europe & Central Asia;High income;2022-01-02 21:52:22.791120
6;AirPods Max;629,00 €;ie;Ireland;Europe & Central Asia;High income;2022-01-02 21:52:22.791120
7;Apple TV 4K;199,00 €;ie;Ireland;Europe & Central Asia;High income;2022-01-02 21:52:22.791120
9;Apple Watch SE;From €299;ie;Ireland;Europe & Central Asia;High income;2022-01-02 21:52:22.791120
10;Apple Watch Series 3;From €219;ie;Ireland;Europe & Central Asia;High income;2022-01-02 21:52:22.791120
11;Sport Band;49,00 €;ie;Ireland;Europe & Central Asia;High income;2022-01-02 21:52:22.791120
12;iPad;From €399;ie;Ireland;Europe & Central Asia;High income;2022-01-02 21:52:22.791120
13;iPad Pro;From €909;ie;Ireland;Europe & Central Asia;High income;2022-01-02 21:52:22.791120
14;Apple Pencil (2nd generation);135,00 €;ie;Ireland;Europe & Central Asia;High income;2022-01-02 21:52:22.791120
15;24-inch iMac²;From €1.499;ie;Ireland;Europe & Central Asia;High income;2022-01-02 21:52:22.791120
16;MacBook Air;From €1.129;ie;Ireland;Europe & Central Asia;High income;2022-01-02 21:52:22.791120
17;Magic Mouse;85,00 €;ie;Ireland;Europe & Central Asia;High income;2022-01-02 21:52:22.791120
0;iPhone 13;da € 939;it;Italy;Europe & Central Asia;High income;2022-01-02 21:52:24.622852
1;iPhone SE;da € 499;it;Italy;Europe & Central Asia;High income;2022-01-02 21:52:24.622852
2;iPhone 12;da € 719;it;Italy;Europe & Central Asia;High income;2022-01-02 21:52:24.622852
3;AirPods(terza generazione);199,00 €;it;Italy;Europe & Central Asia;High income;2022-01-02 21:52:24.622852
4;AirPods Pro;279,00 €;it;Italy;Europe & Central Asia;High income;2022-01-02 21:52:24.622852
5;AirPods(seconda generazione);149,00 €;it;Italy;Europe & Central Asia;High income;2022-01-02 21:52:24.622852
6;AirPods Max;629,00 €;it;Italy;Europe & Central Asia;High income;2022-01-02 21:52:24.622852
7;Apple TV 4K;199,00 €;it;Italy;Europe & Central Asia;High income;2022-01-02 21:52:24.622852
9;Apple Watch SE;da € 309;it;Italy;Europe & Central Asia;High income;2022-01-02 21:52:24.622852
10;Apple Watch Series 3;da € 229;it;Italy;Europe & Central Asia;High income;2022-01-02 21:52:24.622852
11;Cinturino Sport;49,00 €;it;Italy;Europe & Central Asia;High income;2022-01-02 21:52:24.622852
12;iPad;da € 389;it;Italy;Europe & Central Asia;High income;2022-01-02 21:52:24.622852
13;iPad Pro;da € 899;it;Italy;Europe & Central Asia;High income;2022-01-02 21:52:24.622852
14;Apple Pencil (seconda generazione);135,00 €;it;Italy;Europe & Central Asia;High income;2022-01-02 21:52:24.622852
15;"iMac 24""²";da € 1.499;it;Italy;Europe & Central Asia;High income;2022-01-02 21:52:24.622852
16;MacBook Air;da € 1.159;it;Italy;Europe & Central Asia;High income;2022-01-02 21:52:24.622852
17;Magic Mouse;85,00 €;it;Italy;Europe & Central Asia;High income;2022-01-02 21:52:24.622852
0;iPhone 13;À partir de 782,26 €;lu;Luxembourg;Europe & Central Asia;High income;2022-01-02 21:52:27.538167
1;iPhone SE;À partir de 472,83 €;lu;Luxembourg;Europe & Central Asia;High income;2022-01-02 21:52:27.538167
2;iPhone 12;À partir de 666,22 €;lu;Luxembourg;Europe & Central Asia;High income;2022-01-02 21:52:27.538167
3;AirPods(3ᵉ génération);192,42 €;lu;Luxembourg;Europe & Central Asia;High income;2022-01-02 21:52:27.538167
4;AirPods Pro;269,78 €;lu;Luxembourg;Europe & Central Asia;High income;2022-01-02 21:52:27.538167
5;AirPods(2ᵉ génération);144,07 €;lu;Luxembourg;Europe & Central Asia;High income;2022-01-02 21:52:27.538167
7;Apple TV 4K;192,42 €;lu;Luxembourg;Europe & Central Asia;High income;2022-01-02 21:52:27.538167
8;Apple TV HD;153,74 €;lu;Luxembourg;Europe & Central Asia;High income;2022-01-02 21:52:27.538167
9;Apple Watch SE;À partir de 289,12 €;lu;Luxembourg;Europe & Central Asia;High income;2022-01-02 21:52:27.538167
10;Apple Watch Series 3;À partir de 211,76 €;lu;Luxembourg;Europe & Central Asia;High income;2022-01-02 21:52:27.538167
11;Bracelet Sport;47,39 €;lu;Luxembourg;Europe & Central Asia;High income;2022-01-02 21:52:27.538167
12;iPad;À partir de 376,14 €;lu;Luxembourg;Europe & Central Asia;High income;2022-01-02 21:52:27.538167
13;iPad Pro;À partir de 869,29 €;lu;Luxembourg;Europe & Central Asia;High income;2022-01-02 21:52:27.538167
14;Apple Pencil (2ᵉ génération);130,54 €;lu;Luxembourg;Europe & Central Asia;High income;2022-01-02 21:52:27.538167
15;iMac 24 pouces²;À partir de 1401,10 €;lu;Luxembourg;Europe & Central Asia;High income;2022-01-02 21:52:27.538167
16;MacBook Air;À partir de 1091,68 €;lu;Luxembourg;Europe & Central Asia;High income;2022-01-02 21:52:27.538167
17;Magic Mouse;82,19 €;lu;Luxembourg;Europe & Central Asia;High income;2022-01-02 21:52:27.538167
0;iPhone 13;Desde $20,999;mx;Mexico;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:29.026754
1;iPhone SE;Desde $10,999;mx;Mexico;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:29.026754
2;iPhone 12;Desde $14,999;mx;Mexico;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:29.026754
3;AirPods(tercera generación);$4,499;mx;Mexico;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:29.026754
4;AirPods Pro;$5,999;mx;Mexico;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:29.026754
5;AirPods(segunda generación);$3,299;mx;Mexico;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:29.026754
6;AirPods Max;$13,699;mx;Mexico;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:29.026754
7;Apple TV 4K;$4,499;mx;Mexico;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:29.026754
9;Apple Watch SE;Desde $7,499;mx;Mexico;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:29.026754
10;Apple Watch Series 3;Desde $4,999;mx;Mexico;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:29.026754
11;Correa deportiva;$1,199;mx;Mexico;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:29.026754
12;iPad;Desde $8,999;mx;Mexico;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:29.026754
13;iPad Pro;Desde $20,999;mx;Mexico;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:29.026754
14;Apple Pencil (segunda generación);$3,299;mx;Mexico;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:29.026754
15;iMac²;Desde $33,499;mx;Mexico;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:29.026754
16;MacBook Air;Desde $25,999;mx;Mexico;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:29.026754
17;Magic Mouse;$1,999;mx;Mexico;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:29.026754
0;iPhone 13;Vanaf € 809;nl;Netherlands;Europe & Central Asia;High income;2022-01-02 21:52:31.737975
1;iPhone SE;Vanaf € 492,10;nl;Netherlands;Europe & Central Asia;High income;2022-01-02 21:52:31.737975
2;iPhone 12;Vanaf € 689;nl;Netherlands;Europe & Central Asia;High income;2022-01-02 21:52:31.737975
3;AirPods(3e generatie);199,00 €;nl;Netherlands;Europe & Central Asia;High income;2022-01-02 21:52:31.737975
4;AirPods Pro;279,00 €;nl;Netherlands;Europe & Central Asia;High income;2022-01-02 21:52:31.737975
5;AirPods(2e generatie);149,00 €;nl;Netherlands;Europe & Central Asia;High income;2022-01-02 21:52:31.737975
7;Apple TV 4K;199,00 €;nl;Netherlands;Europe & Central Asia;High income;2022-01-02 21:52:31.737975
8;Apple TV HD;159,00 €;nl;Netherlands;Europe & Central Asia;High income;2022-01-02 21:52:31.737975
9;Apple Watch SE;Vanaf € 299;nl;Netherlands;Europe & Central Asia;High income;2022-01-02 21:52:31.737975
10;Apple Watch Series 3;Vanaf € 219;nl;Netherlands;Europe & Central Asia;High income;2022-01-02 21:52:31.737975
11;Sportbandje;49,00 €;nl;Netherlands;Europe & Central Asia;High income;2022-01-02 21:52:31.737975
12;iPad;Vanaf € 389;nl;Netherlands;Europe & Central Asia;High income;2022-01-02 21:52:31.737975
13;iPad Pro;Vanaf € 899;nl;Netherlands;Europe & Central Asia;High income;2022-01-02 21:52:31.737975
14;Apple Pencil (2e generatie);135,00 €;nl;Netherlands;Europe & Central Asia;High income;2022-01-02 21:52:31.737975
15;24-inch iMac²;Vanaf € 1.449;nl;Netherlands;Europe & Central Asia;High income;2022-01-02 21:52:31.737975
16;MacBook Air;Vanaf € 1.129,10;nl;Netherlands;Europe & Central Asia;High income;2022-01-02 21:52:31.737975
17;Magic Mouse;85,00 €;nl;Netherlands;Europe & Central Asia;High income;2022-01-02 21:52:31.737975
0;iPhone 13;Fra kr 8 490;no;Norway;Europe & Central Asia;High income;2022-01-02 21:52:33.104383
1;iPhone SE;Fra kr 4 990;no;Norway;Europe & Central Asia;High income;2022-01-02 21:52:33.104383
2;iPhone 12;Fra kr 6 990;no;Norway;Europe & Central Asia;High income;2022-01-02 21:52:33.104383
3;AirPods(3. gen.);kr 1 990;no;Norway;Europe & Central Asia;High income;2022-01-02 21:52:33.104383
4;AirPods Pro;kr 2 990;no;Norway;Europe & Central Asia;High income;2022-01-02 21:52:33.104383
5;AirPods(2. gen.);kr 1 450;no;Norway;Europe & Central Asia;High income;2022-01-02 21:52:33.104383
7;Apple TV 4K;kr 1 990;no;Norway;Europe & Central Asia;High income;2022-01-02 21:52:33.104383
8;Apple TV HD;kr 1 690;no;Norway;Europe & Central Asia;High income;2022-01-02 21:52:33.104383
9;Apple Watch SE;Fra kr 3 290;no;Norway;Europe & Central Asia;High income;2022-01-02 21:52:33.104383
10;Apple Watch Series 3;Fra kr 2 290;no;Norway;Europe & Central Asia;High income;2022-01-02 21:52:33.104383
11;Sport Band;kr 499;no;Norway;Europe & Central Asia;High income;2022-01-02 21:52:33.104383
