pid;model;price;country_code;country;region;income group;scraped_date
14;Apple Pencil (2. Generation);135,00 €;at;Austria;Europe & Central Asia;High income;2022-01-02 21:52:07.703491
15;"24"" iMac²";Ab 1.449 €;at;Austria;Europe & Central Asia;High income;2022-01-02 21:52:07.703491
16;MacBook Air;Ab 1.129 €;at;Austria;Europe & Central Asia;High income;2022-01-02 21:52:07.703491
17;Magic Mouse;85,00 €;at;Austria;Europe & Central Asia;High income;2022-01-02 21:52:07.703491
0;iPhone 13;A partir de R$ 6.599;br;Brazil;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:09.264138
1;iPhone SE;A partir de R$ 3.699;br;Brazil;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:09.264138
2;iPhone 12;A partir de R$ 5.699;br;Brazil;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:09.264138
4;AirPods Pro;R$ 2.999;br;Brazil;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:09.264138
5;AirPods(2ª geração);R$ 1.649;br;Brazil;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:09.264138
7;Apple TV 4K;R$ 2.399;br;Brazil;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:09.264138
8;Apple TV HD;R$ 1.999;br;Brazil;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:09.264138
9;Apple Watch SE;A partir de R$ 3.799;br;Brazil;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:09.264138
10;Apple Watch Series 3;A partir de R$ 2.599;br;Brazil;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:09.264138
11;Pulseira esportiva;R$ 549;br;Brazil;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:09.264138
12;iPad;A partir de R$ 3.999;br;Brazil;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:09.264138
13;iPad Pro;A partir de R$ 10.799;br;Brazil;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:09.264138
14;Apple Pencil (2ª geração);R$ 1.599;br;Brazil;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:09.264138
15;iMac de 24 polegadas²;A partir de R$ 17.599;br;Brazil;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:09.264138
16;MacBook Air;A partir de R$ 12.999;br;Brazil;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:09.264138
17;Magic Mouse;R$ 899;br;Brazil;Latin America & Caribbean;Upper middle income;2022-01-02 21:52:09.264138
0;iPhone 13;From $949;ca;Canada;North America;High income;2022-01-02 21:52:10.367290
1;iPhone SE;From $569;ca;Canada;North America;High income;2022-01-02 21:52:10.367290
2;iPhone 12;From $799;ca;Canada;North America;High income;2022-01-02 21:52:10.367290
3;AirPods(3rd generation);$239;ca;Canada;North America;High income;2022-01-02 21:52:10.367290
4;AirPods Pro;$329;ca;Canada;North America;High income;2022-01-02 21:52:10.367290
5;AirPods(2nd generation);$179;ca;Canada;North America;High income;2022-01-02 21:52:10.367290
6;AirPods Max;$779;ca;Canada;North America;High income;2022-01-02 21:52:10.367290
7;Apple TV 4K;$229;ca;Canada;North America;High income;2022-01-02 21:52:10.367290
9;Apple Watch SE;From $369;ca;Canada;North America;High income;2022-01-02 21:52:10.367290
10;Apple Watch Series 3;From $249;ca;Canada;North America;High income;2022-01-02 21:52:10.367290
11;Sport Band;$59;ca;Canada;North America;High income;2022-01-02 21:52:10.367290
12;iPad;From $429;ca;Canada;North America;High income;2022-01-02 21:52:10.367290
13;iPad Pro;From $999;ca;Canada;North America;High income;2022-01-02 21:52:10.367290
14;Apple Pencil (2nd generation);$169;ca;Canada;North America;High income;2022-01-02 21:52:10.367290
15;24-inch iMac²;From $1599;ca;Canada;North America;High income;2022-01-02 21:52:10.367290
16;MacBook Air;From $1299;ca;Canada;North America;High income;2022-01-02 21:52:10.367290
17;Magic Mouse;$89;ca;Canada;North America;High income;2022-01-02 21:52:10.367290
0;iPhone 13;Od 19 990 Kč;cz;Czech Republic;Europe & Central Asia;High income;2022-01-02 21:52:12.701576
1;iPhone SE;Od 11 690 Kč;cz;Czech Republic;Europe & Central Asia;High income;2022-01-02 21:52:12.701576
2;iPhone 12;Od 16 990 Kč;cz;Czech Republic;Europe & Central Asia;High income;2022-01-02 21:52:12.701576
3;AirPods(3. generace);4 990 Kč;cz;Czech Republic;Europe & Central Asia;High income;2022-01-02 21:52:12.701576
4;AirPods Pro;7 290 Kč;cz;Czech Republic;Europe & Central Asia;High income;2022-01-02 21:52:12.701576
5;AirPods(2. generace);3 790 Kč;cz;Czech Republic;Europe & Central Asia;High income;2022-01-02 21:52:12.701576
7;Apple TV 4K;4 990 Kč;cz;Czech Republic;Europe & Central Asia;High income;2022-01-02 21:52:12.701576
8;Apple TV HD;4 190 Kč;cz;Czech Republic;Europe & Central Asia;High income;2022-01-02 21:52:12.701576
9;Apple Watch SE;Od 7 990 Kč;cz;Czech Republic;Europe & Central Asia;High income;2022-01-02 21:52:12.701576
10;Apple Watch Series 3;Od 5 490 Kč;cz;Czech Republic;Europe & Central Asia;High income;2022-01-02 21:52:12.701576
